program,Maximum Exp Interviews - base,Minimum Reviews per Program - base,Maximum Exp Interviews - random_distribution,Minimum Reviews per Program - random_distribution,Maximum Exp Interviews - random_applicant_rank_list,Minimum Reviews per Program - random_applicant_rank_list,Maximum Exp Interviews - random_program_rank_list,Minimum Reviews per Program - random_program_rank_list,Maximum Exp Interviews - random_all,Minimum Reviews per Program - random_all
Anesthesiology,5.860040532103999,201.8253414522882,5.860769062241644,201.06860377642883,5.862055108727288,201.69598404691052,5.859833625488146,200.67335441247508,5.859195053287259,202.77831142011016
Child Neurology,7.7697395070688815,53.28260416866982,7.749475927559273,53.90497859907965,7.760938813177742,53.19687122836987,7.763085701326811,53.44122446088671,7.77611129037357,53.95819442319551
Dermatology,5.79408255209276,79.98043365526672,5.791889018122154,79.92965924710349,5.80532591090059,79.08636609073629,5.790790287138272,79.75641490166606,5.798732022612418,80.16461532806854
Emergency Medicine,11.012172161880557,200.21356824575756,11.011851119662174,200.4088665357134,11.009792891462444,200.37778353478626,11.01030728910432,200.37384664185436,11.010088989380357,200.58483313530078
Family Medicine,9.499553157889919,130.1161526388047,9.500630705699926,130.140655352661,9.4982986756094,130.12796402063177,9.498574296006334,130.3621034383743,9.498261103000605,130.19305749460366
Internal Medicine (Categorical),8.553694415334913,292.3825956221686,8.553439651317559,292.4898573155813,8.553964363746692,293.06665639740294,8.554426256507137,292.5317916514157,8.553328627689801,292.7012550045098
Interventional Radiology (Integrated),4.1075632113947105,52.56372037219155,4.104888986755075,52.92897941901532,4.108765464625705,52.68984961732244,4.104479369174018,52.79930689274434,4.104976483056476,52.72706956985016
Medicine-Emergency Med,3.670029281111489,58.11674849972723,3.65086763677076,55.05769230769231,3.6510479955516977,58.46058374249864,3.669996800288863,56.77700490998364,3.6611928536789464,54.718767048554284
Medicine-Pediatrics,9.088851935578193,105.04341391102244,9.085729068932988,105.24381565797974,9.094164862395537,104.40943924760379,9.087286277662841,104.57698094489375,9.082340929990252,104.80961828765632
Medicine-Preliminary (PGY-1 Only),3.611865168867427,121.20268988261103,3.6117496027618636,120.88227116774975,3.6110327325178964,121.55980662977936,3.612814997886628,121.06174167579803,3.6120668781744962,121.77598303155646
Medicine-Primary,2.591665842324256,121.27013026372893,2.594070153713594,121.77467865537147,2.5935137695612633,121.35182856627658,2.5901517045548488,121.14608803598958,2.5912597281373864,120.55646294654572
Neurodevelopmental Disabilities,1.3459285893844717,13.514285714285714,1.3400462364432952,13.514285714285714,1.3525952560511385,13.957142857142857,1.3770210263592617,13.514285714285714,1.363916451195863,13.571428571428571
Neurological Surgery,7.667619188376832,48.9002141772197,7.674100701158984,48.89749838449393,7.673057320847142,48.60251134142351,7.662432162590667,48.6039153403115,7.674930167326663,48.55101104403064
Neurology,5.681913463098013,135.9324491584443,5.679679116602098,135.11412875369297,5.679772676906591,135.08488870853202,5.680770085332616,135.5768297843766,5.681278408513136,135.12522533600065
Nuclear Medicine,1.9404647435897435,12.46875,1.9121503496503496,12.46875,1.9128943972693973,12.46875,1.9258814102564104,12.46875,1.9338141025641025,12.46875
Obstetrics-Gynecology,10.023182187331672,105.89562243388252,10.02351948571935,105.78346282104967,10.024640883468601,105.86562880563976,10.024795181694689,105.7556327773661,10.02327673757515,105.75703688196889
Occupational & Environmental Med,2.6651577518984153,19.183333333333334,2.6814693298571792,17.766666666666666,2.7116168263935645,18.507142857142856,2.6751535874684644,18.709523809523812,2.6520641385044024,18.03333333333333
Orthopaedic Surgery,7.927230748348164,91.28133205490532,7.931804352482476,91.35342709518667,7.92785259476286,91.82787987268966,7.921409186748839,91.68569027388808,7.932830969100655,92.15101151580369
Otolaryngology,9.530577303326908,58.32486018133582,9.537519255240278,58.0229277910547,9.518921503670969,58.25075874960832,9.52525484585539,58.34924245684147,9.525037204815918,57.93332623111331
Pathology,8.38595354474432,75.64041752500185,8.383762044127788,75.98615657286737,8.384457719850731,75.70912374672653,8.381493972183751,75.68105845108651,8.380457304093841,76.01203424312489
Pediatrics (Categorical),10.754565829355615,244.3229966461799,10.755681318124664,244.18316016364565,10.754827431720694,244.21557036092054,10.753924011762985,244.3448587986847,10.755212242370423,244.7046858270516
Pediatrics-Primary,1.1503492044470702,128.24515151515152,1.150965472355445,122.87681818181818,1.152101935692503,130.0390909090909,1.150999254764063,131.51712121212122,1.1500901182300165,125.06863636363636
Physical Medicine & Rehab,4.764607669350362,112.0923813273725,4.765024949212603,112.82121269433847,4.767240555179133,111.95543156174739,4.762620677791193,112.8960790177146,4.764546784197331,112.2877692117624
Plastic Surgery (Integrated),7.697546265843362,53.96571090573878,7.690710434084711,53.86473984455265,7.678448450277684,54.257793300165346,7.686766703550315,53.81423344655156,7.7001522680672645,53.38971418461535
Psychiatry,9.7791469940122,119.67442044786239,9.779449646627858,119.62703090221358,9.77982427268462,119.66309894014803,9.778947282697537,119.8183643597403,9.77476984716198,119.84196762012897
Public Health and Preventive Medicine,3.274596571230811,21.103125,3.2660266546435954,19.87857142857143,3.2753654637575744,21.3546875,3.2736024509869406,21.2171875,3.2233586489310326,20.08
Radiation Oncology,10.155608707081525,44.67979534014448,10.138627236865577,44.695766775058566,10.121400646692972,44.718687027954985,10.127073338230533,44.63927853518587,10.114553204433015,44.95202315017672
Radiology-Diagnostic,5.740659206482661,136.42940477978354,5.744714072367667,136.26365311663523,5.742151996084303,136.38862134249422,5.746647264650171,135.8795995844553,5.744558935384575,135.73650277985192
Radiology-Nuclear Med,1.1867545925866358,16.47,1.1630562781731513,15.78,1.1641066000562903,16.17,1.1620119695406073,16.33,1.1689802235088613,15.84
Surgery (Categorical),7.326467884358902,103.09033435098586,7.323425511866914,102.87994533556424,7.325546436578779,103.46669822718482,7.325228496058386,103.38890788987088,7.323281130252985,103.55643792070539
Surgery-Preliminary (PGY-1 Only),7.40166523594696,100.22399751403432,7.399872524389059,100.20652598338776,7.399407422142884,100.20595136207403,7.395669762472218,100.01677834755213,7.396536505497606,100.27112903404868
Thoracic Surgery,5.6554448833440825,34.58565835555117,5.658552368004316,34.63276483657549,5.669865391930317,34.78341297192324,5.683328256502374,34.56485388894375,5.66487138006855,34.34619424969553
Transitional (PGY-1 Only),4.815443066824814,183.7800250625785,4.8161496833583195,184.45820639943696,4.8143176315241165,184.51435687758286,4.814697942620412,184.19952287497665,4.815280696517693,184.55368988870495
Vascular Surgery,7.945773399486853,29.825728538864155,7.933870504091553,29.775393216033955,7.950110711847959,29.725921371458504,7.959061669475374,29.64990620912629,7.954645208566862,29.734022731860183
